Timestamp,Comment,PreposText,tokenizerText,stemmed,FinalNormalizer,label,score,Likes
2025-04-01T13:39:49Z,"@SekarAyu-it6sq waduh maap belum pernah coba mobilio om, kalau visibilitas ke belakang sih oke oke aja koq om, kecuali kalau row paling belakang ada penumpangnya otomatis spion tengah jadi banyak ketutup sama penumpang belakang, untuk spion kiri kanan aman, yg agak kureng visibilitas ke depan, pilar A nya tu guedheee banget , hahaha",waduh maap belum pernah coba mobilio om kalau visibilitas ke belakang sih oke oke aja koq om kecuali kalau row paling belakang ada penumpangnya otomatis spion tengah jadi banyak ketutup sama penumpang belakang untuk spion kiri kanan aman yg agak kureng visibilitas ke depan pilar a nya tu guedhe banget hahaha,"['waduh', 'maap', 'belum', 'pernah', 'coba', 'mobilio', 'om', 'kalau', 'visibilitas', 'ke', 'belakang', 'sih', 'oke', 'aja', 'koq', 'kecuali', 'row', 'paling', 'ada', 'penumpangnya', 'otomatis', 'spion', 'tengah', 'jadi', 'banyak', 'ketutup', 'sama', 'penumpang', 'untuk', 'kiri', 'kanan', 'aman', 'yg', 'agak', 'kureng', 'depan', 'pilar', 'nya', 'tu', 'guedhe', 'banget', 'hahaha']","['waduh', 'maap', 'belum', 'pernah', 'coba', 'mobilio', 'om', 'kalau', 'visibilitas', 'ke', 'belakang', 'sih', 'oke', 'aja', 'koq', 'kecuali', 'row', 'paling', 'ada', 'tumpang', 'otomatis', 'spion', 'tengah', 'jadi', 'banyak', 'tutup', 'sama', 'tumpang', 'untuk', 'kiri', 'kanan', 'aman', 'yang', 'agak', 'reng', 'depan', 'pilar', 'nya', 'itu', 'guedhe', 'banget', 'hahaha']","['maap', 'belum', 'coba', 'mobilio', 'visibilitas', 'oke', 'row', 'paling', 'ada', 'tumpang', 'otomatis', 'spion', 'banyak', 'tutup', 'tumpang', 'kiri', 'kanan', 'aman', 'agak', 'reng', 'pilar', 'guedhe', 'sangat', 'tawa']",positif,14,0
2025-04-01T13:40:09Z,@tukijogamin5150 langsung gasss kan pak kadesss,langsung gas kan pak kades,"['langsung', 'gas', 'kan', 'pak', 'kades']","['langsung', 'gas', 'kan', 'pak', 'kades']","['langsung', 'ayo', 'kades']",netral,0,0
2025-04-01T15:57:06Z,Mobil ini cocok untuk kendaraan dinas saya sebagai kepala desa,mobil ini cocok untuk kendaraan dinas saya sebagai kepala desa,"['mobil', 'ini', 'cocok', 'untuk', 'kendaraan', 'dinas', 'saya', 'sebagai', 'kepala', 'desa']","['mobil', 'ini', 'cocok', 'untuk', 'kendara', 'dinas', 'saya', 'sebagai', 'kepala', 'desa']","['mobil', 'cocok', 'kendara', 'dinas', 'kepala', 'desa']",positif,5,1
2025-04-02T00:06:37Z,"Visibilitas ini maksudnya blindspot nya gede ya? Waduh, capek dong... 😥😥",visibilitas ini maksudnya blindspot nya gede ya waduh capek dong,"['visibilitas', 'ini', 'maksudnya', 'blindspot', 'nya', 'gede', 'ya', 'waduh', 'capek', 'dong']","['visibilitas', 'ini', 'maksud', 'blindspot', 'nya', 'gede', 'iya', 'waduh', 'capek', 'dong']","['visibilitas', 'maksud', 'blindspot', 'gede', 'iya', 'lelah']",negatif,-5,0
2025-04-02T03:12:55Z,pedal remnya knp bang?,pedal remnya knp bang,"['pedal', 'remnya', 'knp', 'bang']","['pedal', 'rem', 'knp', 'bang']","['pedal', 'rem']",netral,0,0
2025-04-02T06:27:06Z,"@fandimm180 iya saya gak bisa ngejelasin detailnya dengan kata kata gimana, cuman berasa sempit dan beberapa kali kaget tiba tiba papasan sama motor, ternyata tu motor keluar dari gang dan tertutup sama pilar A.",iya saya gak bisa ngejelasin detailnya dengan kata kata gimana cuman berasa sempit dan beberapa kali kaget tiba tiba papasan sama motor ternyata tu motor keluar dari gang dan tertutup sama pilar a,"['iya', 'saya', 'gak', 'bisa', 'ngejelasin', 'detailnya', 'dengan', 'kata', 'gimana', 'cuman', 'berasa', 'sempit', 'dan', 'beberapa', 'kali', 'kaget', 'tiba', 'papasan', 'sama', 'motor', 'ternyata', 'tu', 'keluar', 'dari', 'gang', 'tertutup', 'pilar']","['iya', 'saya', 'tidak', 'bisa', 'jelas', 'detail', 'dengan', 'kata', 'gimana', 'cuman', 'asa', 'sempit', 'dan', 'beberapa', 'kali', 'kaget', 'tiba', 'papas', 'sama', 'motor', 'nyata', 'itu', 'keluar', 'dari', 'gang', 'tutup', 'pilar']","['iya', 'tidak', 'bisa', 'detail', 'cuman', 'asa', 'sempit', 'kali', 'kaget', 'papas', 'motor', 'nyata', 'gang', 'tutup', 'pilar']",negatif,-13,3
2025-04-02T06:28:03Z,@RF-q1z posisi pedal rem nya lebih tinggi daripada gasnya dan selsisihnya lumayan antara gas dan rem.,posisi pedal rem nya lebih tinggi daripada gasnya dan selsisihnya lumayan antara gas dan rem,"['posisi', 'pedal', 'rem', 'nya', 'lebih', 'tinggi', 'daripada', 'gasnya', 'dan', 'selsisihnya', 'lumayan', 'antara', 'gas']","['posisi', 'pedal', 'rem', 'nya', 'lebih', 'tinggi', 'daripada', 'gas', 'dan', 'selsisih', 'lumayan', 'antara', 'gas']","['posisi', 'pedal', 'rem', 'lebih', 'tinggi', 'ayo', 'selsisih', 'lumayan', 'ayo']",positif,10,3
2025-04-02T10:37:15Z,"@AllOfMe2017 ban cadangan itu memang terkadang seperti nggak dibutuhkan, tapi di saat tertentu kita bakal butuh banget😁Memang ada tire repair kit yang lebih simple, tapi hanya berguna jika ban kempes karena tertusuk paku/baut. Kalau ban sobek/pecah, tetap ban cadangan solusi terbaik.",ban cadangan itu memang terkadang seperti nggak dibutuhkan tapi di saat tertentu kita bakal butuh banget memang ada tire repair kit yang lebih simple tapi hanya berguna jika ban kempes karena tertusuk paku baut kalau ban sobek pecah tetap ban cadangan solusi terbaik,"['ban', 'cadangan', 'itu', 'memang', 'terkadang', 'seperti', 'nggak', 'dibutuhkan', 'tapi', 'di', 'saat', 'tertentu', 'kita', 'bakal', 'butuh', 'banget', 'ada', 'tire', 'repair', 'kit', 'yang', 'lebih', 'simple', 'hanya', 'berguna', 'jika', 'kempes', 'karena', 'tertusuk', 'paku', 'baut', 'kalau', 'sobek', 'pecah', 'tetap', 'solusi', 'terbaik']","['ban', 'cadang', 'itu', 'memang', 'kadang', 'seperti', 'tidak', 'butuh', 'tapi', 'di', 'saat', 'tentu', 'kita', 'bakal', 'butuh', 'banget', 'ada', 'tire', 'repair', 'kit', 'yang', 'lebih', 'simple', 'hanya', 'guna', 'jika', 'kempes', 'karena', 'tusuk', 'paku', 'baut', 'kalau', 'sobek', 'pecah', 'tetap', 'solusi', 'baik']","['ban', 'cadang', 'kadang', 'tidak', 'butuh', 'butuh', 'sangat', 'ada', 'tire', 'repair', 'kit', 'lebih', 'simple', 'kempes', 'tusuk', 'paku', 'baut', 'sobek', 'pecah', 'solusi']",negatif,-8,3
2025-04-02T12:21:03Z,"@ipasha96  betul sekali om, tapi di m6 ini gak ada tempatnya , sebenarnya kalau pabriknya niat kasih ban serep mssoh biss sih, itu space di belakang baterai masih ads kolong lumayan gedhe, bisa diposisikan dibawah bagasi macam avanza",betul sekali om tapi di m6 ini gak ada tempatnya sebenarnya kalau pabriknya niat kasih ban serep mssoh biss sih itu space di belakang baterai masih ads kolong lumayan gedhe bisa diposisikan dibawah bagasi macam avanza,"['betul', 'sekali', 'om', 'tapi', 'di', 'm6', 'ini', 'gak', 'ada', 'tempatnya', 'sebenarnya', 'kalau', 'pabriknya', 'niat', 'kasih', 'ban', 'serep', 'mssoh', 'biss', 'sih', 'itu', 'space', 'belakang', 'baterai', 'masih', 'ads', 'kolong', 'lumayan', 'gedhe', 'bisa', 'diposisikan', 'dibawah', 'bagasi', 'macam', 'avanza']","['betul', 'sekali', 'om', 'tapi', 'di', 'm6', 'ini', 'tidak', 'ada', 'tempat', 'benar', 'kalau', 'pabrik', 'niat', 'kasih', 'ban', 'serep', 'mssoh', 'biss', 'sih', 'itu', 'space', 'belakang', 'baterai', 'masih', 'ads', 'kolong', 'lumayan', 'gedhe', 'bisa', 'posisi', 'bawah', 'bagasi', 'macam', 'avanza']","['sekali', 'm6', 'tidak', 'ada', 'pabrik', 'niat', 'kasih', 'ban', 'serep', 'mssoh', 'biss', 'space', 'baterai', 'ads', 'kolong', 'lumayan', 'gedhe', 'bisa', 'posisi', 'bagasi', 'avanza']",positif,2,1
2025-04-03T02:30:14Z,@myminifoodies luar biasa... jalan daerah mana itu bang??,luar biasa jalan daerah mana itu bang,"['luar', 'biasa', 'jalan', 'daerah', 'mana', 'itu', 'bang']","['luar', 'biasa', 'jalan', 'daerah', 'mana', 'itu', 'bang']","['jalan', 'daerah']",netral,0,0
2025-04-03T08:11:16Z,bisa buat mudik?,bisa buat mudik,"['bisa', 'buat', 'mudik']","['bisa', 'buat', 'mudik']","['bisa', 'mudik']",netral,0,0
2025-04-03T08:26:08Z,"@pradaardana2727 bisa banget om, spklu udah banyak juga",bisa banget om spklu udah banyak juga,"['bisa', 'banget', 'om', 'spklu', 'udah', 'banyak', 'juga']","['bisa', 'banget', 'om', 'spklu', 'udah', 'banyak', 'juga']","['bisa', 'sangat', 'pengisian daya', 'banyak']",positif,6,0
2025-04-04T06:50:03Z,@ahmadfairobi9243 muter2 jaksel jaktim aja bang :),muter muter jaksel jaktim aja bang,"['muter', 'jaksel', 'jaktim', 'aja', 'bang']","['puter', 'jaksel', 'jaktim', 'aja', 'bang']","['puter', 'jaksel', 'jaktim']",netral,0,0
2025-04-06T15:04:55Z,​@tukijogamin51dinas kmn. Desa tu sempit. Mau jalan2 pke dana desa?50,kmn desa tu sempit mau jalan jalan pke dana desa 50,"['kmn', 'desa', 'tu', 'sempit', 'mau', 'jalan', 'pke', 'dana', '50']","['kmn', 'desa', 'itu', 'sempit', 'mau', 'jalan', 'pke', 'dana', '50']","['kmn', 'desa', 'sempit', 'jalan', 'pakai', 'dana', '50']",negatif,-5,0
2025-04-09T04:27:55Z,klo batrenya gmana bang?,klo batrenya gmana bang,"['klo', 'batrenya', 'gmana', 'bang']","['kalau', 'batre', 'gmana', 'bang']","['baterai', 'gmana']",netral,0,0
2025-04-09T04:34:45Z,"@jelitasibolga1488 aman, gasss pernah test sampe 930Km dalam sehari dan , pernah dapat 540Km sekali charge",aman gas pernah test sampe 930km dalam sehari dan pernah dapat 540km sekali charge,"['aman', 'gas', 'pernah', 'test', 'sampe', '930km', 'dalam', 'sehari', 'dan', 'dapat', '540km', 'sekali', 'charge']","['aman', 'gas', 'pernah', 'test', 'sampe', '930km', 'dalam', 'sehari', 'dan', 'dapat', '540km', 'sekali', 'charge']","['aman', 'ayo', 'test', '930km', 'sehari', '540km', 'sekali', 'charge']",positif,5,0
2025-04-14T06:52:39Z,fwd?,fwd,['fwd'],['fwd'],['fwd'],netral,0,0
2025-05-08T07:13:24Z,@imamsyafii9380 aman gw 183 cm,aman gw 183 cm,"['aman', 'gw', '183', 'cm']","['aman', 'gue', '183', 'cm']","['aman', '183', 'cm']",positif,5,0
2026-04-10T17:42:41Z,​@bahriputra6323wkwkwkwkwkkwwkwkwkwkwk,,[],[],[],netral,0,0
2026-04-09T05:39:50Z,419 bukan angka yg kecil😢,419 bukan angka yg kecil,"['419', 'bukan', 'angka', 'yg', 'kecil']","['419', 'bukan', 'angka', 'yang', 'kecil']","['419', 'bukan', 'angka', 'kecil']",negatif,-3,0
2026-04-05T13:03:03Z,"Sy biasa perdin ke Jakarta dari Surabaya pake mobil M6 punya kantor charging 3x , Rest Area Ngawi, Pemalang KM 319 , Rest Cikarankelebihannya sambil charging di Rest Area baris tengah belakang rata tidur dalam posisi AC nyala sampe pagi aman cuman berkurang 1% baterainya hehe.. Kalau charging di PLN Kota/Kabupaten bisa istirahat di Lounge nya bermalam jg gpp ada kopi teh mushollah toilet buat mandi hehe itung"" Hemat biaya hotel.. 
Jalur bawah lebih hemat, sangat cocok buat selap selip ngejar moment mendahului...",sy biasa perdin ke jakarta dari surabaya pake mobil m6 punya kantor charging 3x rest area ngawi pemalang km 319 rest cikarankelebihannya sambil charging di rest area baris tengah belakang rata tidur dalam posisi ac nyala sampe pagi aman cuman berkurang 1 baterainya hehe kalau charging di pln kota kabupaten bisa istirahat di lounge nya bermalam jg gpp ada kopi teh mushollah toilet buat mandi hehe itung hemat biaya hotel jalur bawah lebih hemat sangat cocok buat selap selip ngejar moment mendahului,"['sy', 'biasa', 'perdin', 'ke', 'jakarta', 'dari', 'surabaya', 'pake', 'mobil', 'm6', 'punya', 'kantor', 'charging', '3x', 'rest', 'area', 'ngawi', 'pemalang', 'km', '319', 'cikarankelebihannya', 'sambil', 'di', 'baris', 'tengah', 'belakang', 'rata', 'tidur', 'dalam', 'posisi', 'ac', 'nyala', 'sampe', 'pagi', 'aman', 'cuman', 'berkurang', 'baterainya', 'hehe', 'kalau', 'pln', 'kota', 'kabupaten', 'bisa', 'istirahat', 'lounge', 'nya', 'bermalam', 'jg', 'gpp', 'ada', 'kopi', 'teh', 'mushollah', 'toilet', 'buat', 'mandi', 'itung', 'hemat', 'biaya', 'hotel', 'jalur', 'bawah', 'lebih', 'sangat', 'cocok', 'selap', 'selip', 'ngejar', 'moment', 'mendahului']","['sy', 'biasa', 'din', 'ke', 'jakarta', 'dari', 'surabaya', 'pake', 'mobil', 'm6', 'punya', 'kantor', 'charging', '3x', 'rest', 'area', 'kawi', 'malang', 'km', '319', 'cikarankelebihan', 'sambil', 'di', 'baris', 'tengah', 'belakang', 'rata', 'tidur', 'dalam', 'posisi', 'ac', 'nyala', 'sampe', 'pagi', 'aman', 'cuman', 'kurang', 'baterai', 'hehe', 'kalau', 'pln', 'kota', 'kabupaten', 'bisa', 'istirahat', 'lounge', 'nya', 'malam', 'jg', 'gpp', 'ada', 'kopi', 'teh', 'mushollah', 'toilet', 'buat', 'mandi', 'itung', 'hemat', 'biaya', 'hotel', 'jalur', 'bawah', 'lebih', 'sangat', 'cocok', 'selap', 'selip', 'ngejar', 'moment', 'dahulu']","['din', 'jakarta', 'surabaya', 'pakai', 'mobil', 'm6', 'kantor', 'pengisian daya', '3x', 'rest', 'area', 'kawi', 'malang', '319', 'cikarankelebihan', 'baris', 'tidur', 'posisi', 'ac', 'nyala', 'pagi', 'aman', 'cuman', 'kurang', 'baterai', 'tawa', 'pln', 'kota', 'kabupaten', 'bisa', 'istirahat', 'lounge', 'malam', 'tidak apa-apa', 'ada', 'kopi', 'teh', 'mushollah', 'toilet', 'mandi', 'itung', 'hemat', 'biaya', 'hotel', 'jalur', 'lebih', 'sangat', 'cocok', 'selap', 'selip', 'ngejar', 'moment']",positif,14,0
2026-04-05T00:37:10Z,"Mobil ev ini cocok buat yg jarang keluar rumah, btuh buat weekend saja, buat yg gk ngerti mesin,dan pajaknya murah, cocok dgn saya, semoga saya bisa beli, tolong aamiin kan teman2 ,aamiin.....",mobil ev ini cocok buat yg jarang keluar rumah btuh buat weekend saja buat yg gk ngerti mesin dan pajaknya murah cocok dgn saya semoga saya bisa beli tolong aamiin kan teman teman aamiin,"['mobil', 'ev', 'ini', 'cocok', 'buat', 'yg', 'jarang', 'keluar', 'rumah', 'btuh', 'weekend', 'saja', 'gk', 'ngerti', 'mesin', 'dan', 'pajaknya', 'murah', 'dgn', 'saya', 'semoga', 'bisa', 'beli', 'tolong', 'aamiin', 'kan', 'teman']","['mobil', 'ev', 'ini', 'cocok', 'buat', 'yang', 'jarang', 'keluar', 'rumah', 'btuh', 'weekend', 'saja', 'tidak', 'ngerti', 'mesin', 'dan', 'pajak', 'murah', 'dgn', 'saya', 'moga', 'bisa', 'beli', 'tolong', 'aamiin', 'kan', 'teman']","['mobil', 'mobil listrik', 'cocok', 'jarang', 'rumah', 'btuh', 'weekend', 'tidak', 'paham', 'mesin', 'pajak', 'murah', 'semoga', 'bisa', 'beli', 'amin', 'teman']",positif,12,0
2026-04-02T10:40:38Z,Besar tp sempit😮,besar tp sempit,"['besar', 'tp', 'sempit']","['besar', 'tp', 'sempit']","['besar', 'sempit']",negatif,-2,0
2026-03-30T05:08:38Z,Gimana dengan jalan pegunungan apakah mampu nanjak2?,gimana dengan jalan pegunungan apakah mampu nanjak nanjak,"['gimana', 'dengan', 'jalan', 'pegunungan', 'apakah', 'mampu', 'nanjak']","['gimana', 'dengan', 'jalan', 'pegunungan', 'apakah', 'mampu', 'tanjak']","['jalan', 'pegunungan', 'tanjak']",netral,0,0
2026-02-19T14:08:59Z,Di tambang BIB Angsana Kalsel sudah banyak populasi M6 dijadikan mobil operasional.,di tambang bib angsana kalsel sudah banyak populasi m6 dijadikan mobil operasional,"['di', 'tambang', 'bib', 'angsana', 'kalsel', 'sudah', 'banyak', 'populasi', 'm6', 'dijadikan', 'mobil', 'operasional']","['di', 'tambang', 'bib', 'angsana', 'kalsel', 'sudah', 'banyak', 'populasi', 'm6', 'jadi', 'mobil', 'operasional']","['tambang', 'bib', 'angsana', 'kalsel', 'banyak', 'populasi', 'm6', 'mobil', 'operasional']",positif,3,0
2026-02-11T08:22:31Z,Jual BYD m6 superior 7 sheater warna putih tahun 2026 km37,jual byd m6 superior 7 sheater warna putih tahun 2026 km37,"['jual', 'byd', 'm6', 'superior', 'sheater', 'warna', 'putih', 'tahun', '2026', 'km37']","['jual', 'byd', 'm6', 'superior', 'sheater', 'warna', 'putih', 'tahun', '2026', 'km37']","['jual', 'byd', 'm6', 'superior', 'sheater', 'warna', 'putih', '2026', 'km37']",netral,0,0
2026-02-06T05:01:30Z,"Awal ya seperti itu rem M6...
Tp setelah 5menit berlalu dah biasa aja tuh nekan rem ya😂😂😂",awal ya seperti itu rem m6 tp setelah 5menit berlalu dah biasa aja tuh nekan rem ya,"['awal', 'ya', 'seperti', 'itu', 'rem', 'm6', 'tp', 'setelah', '5menit', 'berlalu', 'dah', 'biasa', 'aja', 'tuh', 'nekan']","['awal', 'iya', 'seperti', 'itu', 'rem', 'm6', 'tp', 'setelah', '5menit', 'lalu', 'dah', 'biasa', 'aja', 'itu', 'nekan']","['iya', 'rem', 'm6', '5menit', 'dah', 'nekan']",netral,0,0
