Comment,label,score
"Anyeong guys, kalau  mau tnya²perihal kredit mobil, motor,kpr juga insurance di BCA aku bisa bantu ya, soal dealer ga perlu khawatir kita sediain all jabodetabek yg berani kasih disc max kebetulan bentar lagi ada event ulang tahun nya BCA Expo jdi pasti bnyak promo menarik nya loh 🥰",positif,10
MENDINGAN AVANZA BOS,negatif,-5
ogaaah bgt pakai mobil yg sdh ada taxinya 🤣,positif,3
Ko mobil listrik modelnya bagus bagus iya,positif,5
Kucingnya keganggu tidurnya,negatif,-5
Bikin mabok gak tu mobil,negatif,-7
Gak bakal kena listrik oplosan 😂,negatif,-8
"Keren makasih bang , infonya",positif,8
"17:00 ""600.000km baru baterainya rusak""",negatif,-5
Keren saatnya  mobil jepang akan mngikuti pasar byd,positif,5
Klw jarang pakai apa perlu di panaskan kayak gak di pake selama 1 bulan,negatif,-8
kalo melihat dari review mas ridwan sih menarik banget yah ini BYD M6 untuk sekelas mobil ev 7 seater,positif,3
"Kalo cherry tiggo 8 ada full ev dan harganya ga jauh beda, bisa jadi lawan sepadan byd m6",negatif,-6
"Alhamdulullah sdh tiba digarasi,2 minggu pemakaian setuju banget sm hasil review  Bang Ridwan Hanif yg paling aneh Sy sulit aadptasi adalah rem nya..",negatif,-7
Makasih bro sangat membantu. Semoga Allah lipat gandakan pahala ente 9 triliun kali lipat 🤲🏼,positif,8
"Beli mobil listrik skr, sesal kemudian tak bisa dijual",negatif,-8
"Jok tengah nanggung banget, gak enak didudukin lama",negatif,-7
"Slain ini ada aletra l8, hrga mirp tpi lbh gagh gya hmpir kyk kijng (klo m6 ni kn kyk lbh pndek)",positif,5
Kl ngak punya uang benar2 lebih jangan deh karena kl sekali rusak butuh dana pasti sangat tinggi,negatif,-4
BYD M6 aja bagaimanapun di negara kita ini 7 seater always LBH diminati.,positif,5
jenggot lu mirip jembud bencong bang,negatif,-4
Mobil dan motor listrio membuat orang smakin malas naik transportasi umum,negatif,-5
kan bisa ya sblm d bikin video detail nya di lap dulu di bersihkan dulu. jadi kesannya jijik gitu loh. jgn merasa krn yg d ksh byd bukan unit baru lalu yg reviewer jg ga perduli dgn hal2 simple tsb.,negatif,-12
waduh cwpet rusak,negatif,-5
Aduh udah cacat om 😅😅oya soal batray itu berapa th gantinya dan garansi berapa th itu dan Indonesia bahwa 2 musim cemarau dan hujan apa aman banjirkah...????,positif,6
"Bgm pengaruh medan listrik pada orang di dalam mobil listrik ya, secara pake HP saja ngaruhnya banyak...
Hal ini belum pernah di review",positif,6
Mobil listrik buat perkotaan kalau buat masyarakat prgunungan tidak cocok karena baterai cepat. Habis buat nanjak,negatif,-9
"track 1:35   ""dikibulin pula"".. wkwkwkkwkwkwkwk..",negatif,-5
"Blakang gabisa dipaksa 3 orang dong, itu kepentok frame tempat duduknya..",negatif,-9
Kl ad rezeki pngn beli cm kwtr takut listrikny di oplos,negatif,-10
Memang udh saatnya buat pindah ke mobil listrik nih positif 🏻,positif,5
coba ada bensinnya yaa keren desainnya,positif,5
Di cina harganya gk sampe 200jt pemerintah mahal juga ya 100% ambilnya aihh,negatif,-8
"Mobil ini posisi duduk di baris kedua sangat tidak nyaman, seperti jongkok, lantainya tinggi sekali, belain akomodasi baterai EV nya yang tebal,  jadi kursinya dibuat rendah supaya akomodasi kepala penumpang gak mentok. Walhasil kaki ngelipet, jadi inget sedan mungil tahun 90an yang ruang kakinya sempit karena ceper dan kursi rendah.",negatif,-20
masa sih? kyknya enak2 aja keluarga gw,positif,5
Sudah mantap hati gua beli ini... 😊,positif,8
kalau BYD sd di produksi di Subang bakal buka lapangan kerja dan mobil terjangkau,positif,8
bener2 anti dikibulin,negatif,-10
Kalau baris ke 3 bisa rata lantai bila dilipat pasti gak nyaman untuk didudukin,negatif,-9
"Tertarik sama mobil ini cmn khawatir batre cepet drop
Sedangkan harga batrenya mirip sama harga baru

Jadi tetep tim mobil bbm 
Biaya perbaikan nya murah",positif,8
Kl ban bocor serepnya pake apaan y 😅,negatif,-5
Harusnya ganti logo pake logo esemka esempe esde teke pasti laku,positif,5
Di Bontang sekarang banyak jadi mobil operasionalnya Pupuk Kaltim sama tambang batu bara Indominco,positif,3
Semoga bisa kebeli ini 4 tahun lagi,positif,5
"mungkin kedepannya lagi byd bikin travel fast charger 220v ac nya, jadi bisa ngecharge mobil kaya ngecharge handphone 😁 positif 🏻",positif,8
Sayang KLO ini pake bengsin lebih bnyak lagi yg beli wkwkw,positif,12
" , kocak tutup casnya ",negatif,-5
Sayang amat kok tidak ada Unit sample yang rada serius. Ampun. ❤,negatif,-4
Tumben jorok mobilnya om😢,negatif,-9
Bukti bahwa china kuasai pasar mobil listrik..eropa sama amerika galau😂,positif,3
Jangan sebit biwaidi tapi beyede..,negatif,-5
Msh penasaran harga baterainya sama kuat brp lama,positif,5
"Kalo baterai seharusnya gak usah dipikirin karena BYD fleetnya Blue bird aja udah jalan setengah juta kilometer lebih masih awet, mobil bensin aja langka bgt yang bisa diatas 200 ribu kilometer dan pasti dah turun mesin juga",positif,6
yang belum punya mobil dan uang buat beli nya tapi tetap setia nonton ❤,positif,3
"Yg mentok itu karena yg buat tanggul atau polusi tidur, otak nya separo😂😂",negatif,-10
nggak aneh produk china 🤣🤣🤣😂,positif,3
Mobil ternyaman pake baru dari tanggal 05 Desember 2024 sampai sekarang BYD M6 superior terimakasih BYD,positif,4
head unit dibuat vertikal untuk map lebih nyaman. bisa lihat lebih jauh rute yg akan dilalui,positif,11
"EV dipake harian jelas Hemat bgt menjadi pertimbangan sih mobil"" EV ini",positif,8
"Ini mas Ridwan udah lengkap jelasinnya tapi gambarnya enggak. Tolonglah kameramen & editor, ga lama n ga susah ko ambil detil3 shot. Makan durasi? penjelasan detil masnya kecepetan? bisalah di split screen. Saya ngikutin review di channel ini, cuma MINUS BESARNYA DI GAMBAR DETIL2NYA.",positif,8
"Dengan harga serupa, mending GAC Aion Y Plus terlihat lebih mewah",positif,6
"Maafkan Aku
Cintai Aku
Truk hijau yg salip ridwan",positif,8
"Sound,kamera, shot vidio kurang memanjakan",negatif,-10
"Yaah gak salah tuh mas, sekelas M6 disamain sama mobil dng julukan ""kaleng kerupuk"" apalagi punya kasus memanipulasi data uji tabrak keselamatan... 🤣🤣🤣",negatif,-7
"Maaf, tapi menurut saya desain mobilnya sprti keluaran mobil tahun 2017-2020 an.",positif,3
mobil yang pakai baterai adalah sebuah kesalahan skip baterai waiting next teknologi,negatif,-5
Salah satu penantang BYD yang lebih bagus dari BYD yaitu Aletra ❤😁,positif,6
"@lucky889s9  Bagus kok, coba liat review moladin. Mereka tes dari semarang ke yogya full penumpang dan bagasi.",positif,5
Banyak banget ini masukan utk BYD  positif ,positif,11
"Ini mobil enak banget, akselerasi, adas, suspensi, kekedapan, kapasitas, aplikasi remote control, sangat fun to drive. Kalo masalah rem sama MID kalo udah biasa sih ga ada masalah. Itu cuma urusan penyesuaian atau kebiasaan aja,  sehari pakai aja udah beres, kalo mempermasalahkan hal itu rasanya gak penting banget dibanding kelebihan lain nya. Sy pake crv gen 5 udah ga pernah dipake, jd malas, apalagi ke luar kota yg track nya naik turun, pake ni mobil nikmat banget tambah suspensi yg solid dan dewasa. Harga segini worth it banget, sy pernah hitung untung/rugi. kalo dibandingin sama zenix aja utk jangka panjang masih tetep untung pake mobil ini,dgn catatan fasilitas dr pemerintah terkait pajak tetep sama dan pemakaian ti nggi. Sy mulai pakai dr bulan oktober akhir skrg km udah hampir 13rb, ga ada masalah. Cuma ac belakang akhir2 ini gak begitu dingin, mudah2an ada solusi permanen dari byd karena pernah ke bengkel lumayan dingin tp skrg kurang dingin lagi. Sama audio menurut saya agak terlalu biasa, kalau mau enak harus upgrade. Overall puas banget",positif,22
mau tanya om...unt perawatannya gmn? harusnya lebih murah dari ICE,positif,11
"bang ada review kalau turunan tajam gitu gimana yah yang mobil listrik. apakah sama kaya matic ada low gear nya. apalagi rumahnya mas ridwan kan klaten yak, buat naik turun klaten pasar semin wonosari gimana tuh",negatif,-4
"Saya pakai BYD M6, dari November 2024. Lebaran ini mudik pakai M6 dari Medan - Lampung... Lintas timur SPKLU udah banyak, hampir disetiap kota kabupaten ada. Tetapi untuk Fast Charging DC, berjarak sekitar 250km. Gak ada keluhan kehabisan listrik... semua lancar seperti pakai ICE... cuman habis 600rban isi listriknya. Kalo pakai bensin udah 1.5jt ++ qqq... dan gak pake ganti2 oli, busi2 dll... biasa pake ICE untuk service sebelum mudik abis 2.5jt...qqq. Jadi kalo saya hitung kasar, selisih biaya untuk mudik 1.3jt vs 5.5jt (sama service ICE). selisih 4jt, banyak juga duit itu...

Trik supaya enak pakai mobil listrik di lintas sumateraa dan badan/kaki gak pegel:
1. Aktifkan regen breaking ke larger, supaya kaki gak bolak-balik injek rem
2. Mode Sport kalo jalanan naik turun
3. pakai ADAS kalo lagi di tol.. lumayan 1 jam kaki istirahat.
4. Usahakan cas setiap 250-300km, sambil makan... jadi selesai isoma, mobil udah full dan siap berangkat.",negatif,-16
Mantap om.. jadi pengen punya ev juga,positif,5
"Waw lintas sumatera? Seriously? Salah satu keresahan saya kl mau beli mobil ini adalah takut ga bisa dibawa mudik ke sumatera, karena kampung saya di Pasaman alias Sumbar ujung bgt (perbatasan dengan Sumut) takut susah/bingung mau charge baterai di mana nantinya dan belum lagi kalau macet-macetan. Tp setelah baca komen om nya jd sedikit meyakinkan hehe, thank u for sharing… 🙏🏻",negatif,-22
"@hanabot5765 jangan takut om. Irit pulak.... sy udah bawa putar2 di Sumut. Ke samosir, balige, b. Aceh.... aman... minimal beli yang jarakbtempuh 400km ya... biar nyaman. Kalo macet2an, sudah sy buktikan untuk menyalakan AC 1 jam, cuman turun 1% baterainya.",positif,11
​@deniarifiyanto3862 full nya biasa sampai mentok 100 apa cuma sekitar 90 persen saja,negatif,-5
"Wah baru tau, berarti jkt - payakumbuh harusnya aman ya? Tapi lewat lintas timur",positif,5
"@abibmis aman sekali om. Saya juga pernah Medan - Banda Aceh. Bulan Des 2024. Charger 100KW semua, ada 3 charger...",positif,5
"@Nasyyy-fai kalau dari 0-100% di lintas timur dapat 480-500km. Tapi gak mungkin charge nunggu 0%, biasa kalo lintas timur 40-50% udah ketemu charger lagi berjarak 250-300km... jadi gak sampe habis",negatif,-8
sayang di jalan nasional Pontianak-Kalbar ke Pangkalan bun-Kalteng belum ada SPKLU... enaknya pulau Jawa dan Sumatera... merdeka yok...,positif,11
sandevousangraldst saya masih pakai Ertiga Om... masih enak kok mobilnya walaupun udah 9 tahun....,positif,5
"@rizqianalailiistiqlal2122 ada bang, di sandai Super Fast Charging CCS2 DC 50KW 2 dispenser",positif,5
"​@anakgunungsiangGaransi baterai 8 tahun kalau gak salah, jadi paling gak 8 tahun jual, atau jadi 2nd car dalam kota kalau OKB",positif,3
"​@anakgunungsianguda diomongin tuh. Bluebird aja pake, di 600rb km baru jebol baterenya",negatif,-5
terima kasih info & tipsnya pak,positif,3
"​@anakgunungsiangblm beli udh mikir jual... Klo mslh rusak mah smwa barang d pake jg bsa rusak bang... Mesin bensin jg gk nutup kemungkinan turun mesin, gnti kopling bhkan swap engine kn... Jd yah namanya jg barang d pake bang... 😅",negatif,-7
"​@anakgunungsiangsya aja sehari 30 km x sminggu 100 rb pake Eripi.    Klo pake bensin abis 600 rb. Selisih 500 rb per minggu. Sebulan hemat 2 jt.  Gmn tmn yg di bogor PP JKt.. Hemat 5.5 jt per bln katanya. Setahun  udah 66 jt.  8 th udah 528 jt.. Beli terbaru deh... Jadi klo dipakai jauh untung banget....  Sya sering Jkt Bandung. Cuman abis 50 rb deh. Charge dirumah..  Klo pake Bensin H1, wah PP 300-400 rb.",positif,13
​@yohanespurnomo-z9dpenjelasan yg baik😊 tapi mas hukum batrey biasanya kan tidak stabil.. Dimana Batrey cepat soak dll.. tapi entah lah mungkin ada teknologi  yg terbarukan😊,negatif,-9
​@yohanespurnomo-z9d sehari 30 km seminggu bensin habis 600rb pakai mobil apa bos sampai seboros itu😂😂😂 apakah anda sales mobil ini? 😂😂😂,negatif,-10
​@lukmanramdhani4615Betul Om.. Mobil itu di pakai ya rusak gak di pakai ya tetap rusak.. Cara berpikir bangsa konoha SDM nya sangat rendah.. tanda dua kutip ya.. gak akan bisa maju..,negatif,-5
"YANG JADI MASALAH GAN

MOBIL LISTRIK HABIS PAKAI RATUSAN KM ITU KAN PANAS YAH

APA BISA LANGSUNG DI CHAS  ??? 


KAN BATERAI MOBLIS HARGANYA LUMAYAN LOH YAH


INSYA ALLAH SAYA MAU BELI INNOVA DIESEL MODEL BARU 2025 ATAIU M6 INI

TAPI CONDONG BELI MOBLIS INI SIH


SOALNYA SELAIN HEMAT ENERGI

HEMAT BBM

BEBAS POLUSI DAN 

KENDARAAN LISTRIK ITU JUARA BANGET NYAMANNYA KETIKA DI GAASS GAAASS

DAN TANPA GETARAN KAYAK MOBIL KONVENSIONAL MESIN BBM",positif,10
"​@Oneuser21kalo mobil ev, baterainya ada pendinginnya om. Jangan dianggap kayak baterai ABC... beli M6 om... uiriit... sy udah pake 25.000 km... gak takut jalan jauh...biasa aja",positif,6
"​@deniarifiyanto3862

BEEEH UDAH 25 KM AJA BANG


BAGAIMANA MOBLIS NYA BANG APA ADA KENDALA  ???",negatif,-5
"​@Oneuser21nggak ada kendala yg berarti sih om. Setelah 25k km ini belum terasa ada penurunan jarak tempuh sih... biasa ke kantor 100km 20% dari baru, sekarang pun ya masih 20%. Kadang 21-22% kalo banyakan idle di rest area. Tapi kalo lg kambuh, panas sm fortuner/pajero... sampe 150km/j itu habisnya bisa 25% baterai",negatif,-24
"​@anakgunungsiangdi video udah dijelaskan masa pakai baterainya, emang manusia tipe bengal sulit maju  😂",negatif,-6
"@anakgunungsianglu ganti battery mobil setiap tahun apa gimana? heran pertanyaannya itu mulu, orang bebal dan konservatif emang gak akan pernah maju, hidup di waktu yg sama selamanya..masa iya mampu beli mobil tapi dalam 10 tahun gak mampu menghasilkan uang setara harga mobil itu? toh kalo battery jebol dan sampe gak bisa dipakek yaudah lah tinggal beli baru aja, moblis lama tinggal dirongsok karena pasti udah ketinggalan jaman juga",negatif,-21
worst skenarionya kalau ditabrak dari samping dan harus ganti baterai,negatif,-4
udah dikibulin juga 😅😅 akhirnya keluarlah kocheng 😂😂,negatif,-5
Mobil baru udah rusak wkwkwkwkwkwk,negatif,-5
1:35 😂🎉 mantab 😅,positif,4
Secondnya berapa sekarang? Batre udah lifetime warranty belum?,positif,5
"harga Mobil listrik ga masuk akal krn mobil Mesin vs Baterai itu lebih powerfull mesin dr segi produktivitasnya yg perlu diperbaiki di indonesia ini adalah KUALITAS dan HARGA bahan bakar kendarannya , semua mobil listrik 10 tahunan masa pakai baterainya pasti jadi bangkai.. apa sdh ada di indonesia tempat pengolahan limbah B3 nya?? Baterai bekas mengandung bahan berbahaya dan beracun (B3). Jika dibuang sembarangan, baterai bekas dapat mencemari lingkungan. Sel-sel baterai dapat melepaskan racun, termasuk logam berat, yang dapat meresap ke dalam tanah dan air tanah",negatif,-23
"- emang lu masih kuat pelihara mobil 10 tahun? 
- emang sisa oli gak limbah? Kepikiran gak lu itu botol oli, kaleng filter, radiator, knalpot, dll bakalan jadi limbah lebih banyak? 
- kumpulin bon bensin (jangan subsidi yang cemen), bon servis, STNK per tahun, dll bandingin total nya",negatif,-4
"disini kan pak gub bilang rasa berkendara spt mobil china 2016, jika dibandingkan dengan avanza fwd rasanya gmn pak gub? pengen minang.. tp inden bs smp 6 bln..",negatif,-5
Masih baru kok udah rusak penutup bensinnya,negatif,-10
1:35 cape isi bensin dikibulin pula 😂😂😂 pom bensin mana tuh 😅😅😅😅,negatif,-10
"Mobil sisa dr 2016
Di buang kesini 😅",negatif,-5
"BYD raja nya merk mobil ev jaman sekarang , produk nya laris di pasaran Indonesia,yg paling saya suka adalah selion 7",positif,5
Kalau belum 10 thn lebih di indo sangat beresiko beli cina²an model gini.. DFSK aja ko'it..,positif,3
bisa charge pake listrik oplosan ngak bang,negatif,-5
setelah hanif bilang masalah bbm. tersirat dipikiran saya tentang konspirasi. apakah sengaja disetting berita masalah bbm biar kita gak suka pake bbm. sebenar nya kita tanpa sdar disuruh beralih ke mobil listrik,negatif,-22
Naksir ama mobil BYD yg satu ini😢desain simpel dan harga gak mahal amat aslkan ada uang nya😢,positif,10
"Ntar belinya kalau sudah jadi BMD (be my dream), sekarang belum, masih ragu sama Mochin!",positif,4
7:34 jujur ya waktu bang ridwan waktu setiap kali bilang tingginya 170 cm itu jujur aku gak yakin ya keknya dia lbh tinggi deh kek 172 gitu ga sih?,negatif,-7
"Mobil China,, blm apa apa udah rusak😅",positif,6
Indonesia kekurangan orang genius bisa buat produk2 otomotif,negatif,-5
"Brand China yang affiliate ama Toyota,semoga semakin meningkat kualitasnya",positif,10
Semoga org org kaya pkai mobil listrik... Sdah muak liat org kaya.... Tapi rebutan bbm subsidi dN gas subsidi.... Tmpilannya doang tpi jiwanya miskin...,positif,5
"((((((Kan capek ya sekarang isi bensin yaa, dah gitu dikibulin pula))))))",negatif,-10
Bisa tanpa sopir gk...,negatif,-8
mudahmudahn infrakstruktur listrik bisa lbh bnyk,positif,9
"Iya ini kok banyak bgt ya yg beli, di medan ini banyak berkeliaran di jalan. Yg ke 2 wuling air ev",positif,3
Lebih mirip ke toyota wish,positif,5
"yang jadi problem=gak ada ban cadangan.Pernah sewa grabcar,drivernya pusing kalo bocor harus nambel sendiri pake cairan hahaha",negatif,-16
"Kta clientku dri singapore ktanya kurang nyaman saat di kendarain, bnr ga sih? Pingin log in tp masih tkut” merinding disko lol",negatif,-17
"Taxi bandara, sama ojoll bandara pantesan banyak pake mobil ini",positif,3
"terlaris gimana dikota saya saja  yg nongol selama lalu lalang di jalan cuman satu doang,mobil ini di china sana model lama nga laku dibawa ke sini  liat aja tu baru  segitu aja  penutupnya sudah error",negatif,-19
Tutup chargernya kok udh rusak.. jdnya gmn gitu,negatif,-10
semoga tahun depan bisa kebeli seperti ini amiin,positif,5
Keren cara jelasinnya mase,positif,5
0:55 malah kayak innova reborn diilangin grillnya,negatif,-5
Capek isi bensin dibohongi pula 😅,negatif,-10
Si jujur tu PLN😂,positif,5
"Maklum mobil lama th berapa?
Namanya China berproses  positif 🏻",positif,5
Terjangkau buat sapa dl😂😅,positif,5
"bang ridwan izin nanya, feel berkendaranya apakah mirip dengan xpander atau bahkan lebih baik?",positif,5
"saya juga pake m6 tipe 6 seater. feel berkendara lebih enak dari innova hybrid.

xpander saya gak punya tapi temen2 yg punya bilangnya sih ga enak",positif,5
Bawa kedealer lagi❤ aja kan mash garansi,positif,5
"Punya mobil Ev enak banget, irit jauh, responsif, halus, mau ganti semua mobil di rmh jd Ev",positif,23
BTW Aletra apa kabar yak ? Kok blom berkeliaran di jalanan...?,positif,4
avanza harga terjangkau ??? gak salah lu nif ?? 🤣🤣🤣,positif,8
"5 Bulan pakai m6, puas bgt.. canggih dan irit.. beda banget sm mobil konvensional..",positif,22
Bro ini sekarang sudah suka produk China,positif,5
"Udh pake dr November, mantep deh pokoknya",positif,5
"Sayangnya aku gak suka dasboardnya, kuno..😅",negatif,-11
andai ada yg mesin diesel atau minimal bensin pasti bnyk jg peminatnya apalagi RWD,positif,3
"Impor BYD jelas terbatas karena semakin banyak yg diimpor maka konsekuensinya harus makin banyak investasi yg ditanamkan. Itukah penyebab BYD ""irit"" mobil test 😅. Mungkin nanti kalo pabriknya sudah produksi br unit testnya banyak",positif,6
"Begitu liat cover colokan rusak, langsung skip.. QC nya jelek banget BYD",negatif,-7
B Chanel lebih bagus editornya,positif,11
1:38 🐈 : maaf ane lewat dulu y bang,positif,3
Lebih mirip ke proton exora,positif,5
"Blm apa apa dah rusak aja tuh, kocak",negatif,-5
Sepertinya visibilitas stargazer ga separah ini😂,negatif,-7
MET Idul Fitri Mohon Maaf lahir dan batin. Asik banget nih bwt Lebaran,positif,9
Pedal rem terlalu tinggi. Klo blm terbiasa mentok dikit,positif,3
"baru pakai mobil ini 2 bulanan sekitar 2000an km,cukup puas terutama untuk tenaga dan performanya karena sering dipake untuk antar kota/di tol,untuk nyalip 2 sangat oke sekali ,keluhan saya dibagian joknya yang kependekan,jadi paha tidak nempel di jok, ini kurang nyaman,apalagi di bagian baris ke 3,itu duduk serasa nongkrong (mungkin ada yg punya solusi?)...tapi overall,unt biaya pengisian,pajak,dan servis sangat hemat di kantong/murah",positif,15
biaya charge ev  juga bang..70rb an bisa 400+ km..sedappppp..,positif,4
"@punya saya captain seat superior kapasitas baterai 71kw,jarak tempuh 530 km an… untuk Charge Full cuma sekitar 80 rb an dikurang diskon 30% dari PLN",negatif,-5
"Pake tipe apa yah, 7 seaters? Katanya sih yg tipe ini ga enak sempit kursinya di baris 2-3. Saya pake yg 6 seaters, semua joknya tetep enak sampe baris ke 3 juga enak bisa direbahin lumayan jauh dan dengkul tidak mentok ke jok depan (baris ke-2).",negatif,-6
"Sebagian besar mobil yg beredar di Indonesia itu aslinya desain utk 5 orang, tp krn budaya kita suka pergi rame-rame maka oleh ATPM-ATPM agak dipaksakan tambah 2 seat baris ke 3, jadi benernya sebagian besar tuh 5+2, bukan 7 seater sejati, makanya jarang yg baris ke-3 nyaman. Mobilio saya juga baris 3 nya kepake cuma klo hari raya aja",positif,16
"Ini kalau kita ngecharge di charging station yg ada di pom bensin, butuh berapa lama yah untuk sampe penuh",positif,3
Belom apa2 udah ada yg rusak,negatif,-5
3:36 ad yg aneh,negatif,-5
"Berarti pengeremannya sama kaya dfsk glorang, di injek dikit sensitif bgt",positif,6
"Masalah namanya itu gimana kelanjutannya ya?
M6 kan nama paten bmw punya.🤔",positif,4
"Mauuuu, semoga jadi jalan masuk surga.",positif,8
"Kalo mau lebih detail review mobil, lebih prefer chanel nya B channel",positif,9
​@Keysaul lbh lengkap carmudi,positif,11
"gw heran apa editornya gak berbenah, sejak lama dikasih saran gak didengerin. makanya gw dah males nonton chanel ini. tp ini kelemahan ridwan juga yg reviewnya gak dikonsep dulu, jadi editornya bingung milih B roll nya.",negatif,-8
"​@miteina5555 Carmudi kepanjangan durasi, kalo b channel pure review jadi lebih detail, pengalaman gw belajar bawa mobil Eropa dari B-Channel karna padet informasi detailnya. Rata2 yg nonton pak gub karna pendapat nya menarik, sama hal kaya kawannya om mobi dan om fitra",positif,11
"Kayanya masalahnya itu di shootnya gak dapet, susah juga jadi videografernya ngejar mas Hanifnya jelasin 😂",positif,6
"Liat komeenya jadii agaaa raguu ntn, takut nggantung😢",negatif,-8
"Editor nya kawan kental , mungkin udh malas negurnya😅",negatif,-8
​@IlhamRizkiRamadhanngapain dikejar? shoot detail bisa dilakukan setelahnya untuk insert gambar😊,positif,5
Ini vlogger tidak terima kritik saran kaka😂😂😂,negatif,-10
"Sama lagi pendapatnya 😅, apa gak terima saran channel ini ya? Ini sudah kekurangan dan saran dari lama.",negatif,-12
"Betul udh dari dlu tp diem aja mau maklum karna mungkin masih menyesuiankn, eh mkin ksni sama ajah 😂",positif,3
Efisiensi anggaran keep editor ini kalo ganti yg lebih proper bayaran mahal ​@ceples2524,positif,11
"Ini terjadi di banyak reviewer otomotif, bukan cuma Ridwan🤣mau heran tapi Indonesia wkw",positif,6
​@ceples2524 berarti bebal orangnya,negatif,-4
"Ini kan konsepnya seperti daily vlog, kalau mau yg profesional ya liatnya autonetmagz",positif,4
@efendyx gajinya kurang kali wkwk,negatif,-5
Kapan tau mas udah dikasih saran gitu mas. Mgkn mreka lelah kejar tayang 😂,negatif,-5
biarin aja bang.dia merasa paling oke editingnya😅😅😅,positif,5
Om ridwan hanif tolong bikin video tes lengkap review mazda minta 35th anniversary,positif,5
Edan ya kalau produsen China kalau bikin suatu barang GK nanggung dan GK pelit  fiturnya dan tekhnologi nya ntah itu mobil atau pun barang elektronik dengan Harga terjangkau,negatif,-11
"Bang kalau mobil listrik, pas charger listrik nya di oplos GK ya takut nya meletup 😂😂😂😂",negatif,-13
"lebih tahan banjir sudah IP67 dan anti mogok. org yg udah pake EV kbykan ga bakal balik ke BBM lg, jauh lebih enak",positif,3
Punya ku standard tp bisa koq ngerem halus..  🙏🏼🙏🏼,positif,5
